DBN,Year,percent_level3_4
02M151,2017,60.6
02M151,2018,67.1
02M151,2019,64.7
02M158,2013,76.5
02M158,2014,82
02M158,2015,87
02M158,2016,83.7
02M158,2017,83
02M158,2018,85.1
02M158,2019,81.8
02M167,2013,53.8
02M167,2014,58.8
02M167,2015,63.2
02M167,2016,69.7
02M167,2017,71.9
02M167,2018,80.3
02M167,2019,77.3
02M177,2015,74.1
02M177,2016,69.2
02M177,2017,59.3
02M177,2018,62.1
02M177,2019,82.9
02M183,2013,71.5
02M183,2014,68.5
02M183,2015,73.2
02M183,2016,77.1
02M183,2017,82.9
02M183,2018,87.4
02M183,2019,88.8
02M198,2013,24
02M198,2014,40.4
02M198,2015,47.8
02M198,2016,65.2
02M198,2017,68.8
02M198,2018,78.4
02M198,2019,71.1
02M212,2013,71.2
02M212,2014,78.4
02M212,2015,72.7
02M212,2016,75.3
02M212,2017,69.6
02M212,2018,78.8
02M212,2019,75.4
02M217,2013,38.5
02M217,2014,48.6
02M217,2015,52.1
02M217,2016,58
02M217,2017,64.3
02M217,2018,67
02M217,2019,69
02M225,2013,30.9
02M225,2014,44.9
02M225,2015,48.3
02M225,2016,30.9
02M225,2017,44.3
02M225,2018,55.9
02M225,2019,58.6
02M234,2013,63.8
02M234,2014,74.4
02M234,2015,80.4
02M234,2016,77.7
02M234,2017,78.4
02M234,2018,87.3
02M234,2019,84.2
02M255,2013,80.4
02M255,2014,87.5
02M255,2015,88.2
02M255,2016,88.3
02M255,2017,89.8
02M255,2018,88.9
02M255,2019,92.1
02M260,2013,60.4
02M260,2014,68.5
02M260,2015,71.8
02M260,2016,68.6
02M260,2017,75.5
02M260,2018,93.1
02M260,2019,92.6
02M267,2014,54.2
02M267,2015,68.9
02M267,2016,79.1
02M267,2017,78.3
02M267,2018,85.2
02M267,2019,91.8
02M276,2013,64.6
02M276,2014,66
02M276,2015,64.6
02M276,2016,64.2
02M276,2017,69.8
02M276,2018,78.3
02M276,2019,82.6
02M281,2017,66.7
02M281,2018,81
02M281,2019,85.9
02M289,2013,59.1
02M289,2014,64.5
02M289,2015,64.4
02M289,2016,68.9
02M289,2017,65.7
02M289,2018,70.3
02M289,2019,71.8
02M290,2013,78.3
02M290,2014,78.6
02M290,2015,84
02M290,2016,77
02M290,2017,85.1
02M290,2018,87.1
02M290,2019,87.9
02M297,2018,59.9
02M297,2019,60.7
02M312,2013,92.4
02M312,2014,89.6
02M312,2015,91.1
02M312,2016,89.8
02M312,2017,89.2
02M312,2018,90.8
02M312,2019,92.5
02M340,2018,81.1
02M340,2019,74
02M343,2016,57.1
02M343,2017,75.8
02M343,2018,80.3
02M343,2019,73.8
02M347,2013,5.4
02M347,2014,21.6
02M347,2015,17.2
02M347,2016,20.6
02M347,2017,40.6
02M347,2018,47.6
02M347,2019,51.2
02M397,2013,63.8
02M397,2014,82.1
02M397,2015,79.1
02M397,2016,73.2
02M397,2017,74.5
02M397,2018,84.1
02M397,2019,83.3
02M407,2013,52.2
02M407,2014,46.2
02M407,2015,48.5
02M407,2016,45.8
02M407,2017,47.6
02M407,2018,78.9
02M407,2019,80
02M408,2013,51.7
02M408,2014,60.8
02M408,2015,66.7
02M408,2016,82.1
02M408,2017,93.9
02M408,2018,80.3
02M408,2019,74.6
02M413,2013,65.4
02M413,2014,59.5
02M413,2015,62.9
02M413,2016,66.9
02M413,2017,60.9
02M413,2018,66.4
02M413,2019,56.4
02M422,2013,31
02M422,2014,37.6
02M422,2015,34.6
02M422,2016,27.2
02M422,2017,25.5
02M422,2018,27.3
02M422,2019,24.8
02M442,2013,67.3
02M442,2014,76.9
02M442,2015,83.2
02M442,2016,86.1
02M442,2017,73.4
02M442,2018,77.7
02M442,2019,78.3
02M527,2016,85.1
02M527,2017,81.4
02M527,2018,88.7
02M527,2019,85.6
02M896,2013,41.9
02M896,2014,49.5
02M896,2015,49.4
02M896,2016,61.3
02M896,2017,60.2
02M896,2018,62.7
02M896,2019,66.1
02M933,2015,22.5
02M933,2016,29.5
02M933,2017,18.1
02M933,2018,22.4
02M933,2019,23
03M009,2013,72.6
03M009,2014,81.1
03M009,2015,82.7
03M009,2016,84.7
03M009,2017,86.1
03M009,2018,85.7
03M009,2019,82
03M054,2013,74.8
03M054,2014,76.6
03M054,2015,84
03M054,2016,84.2
03M054,2017,87.4
03M054,2018,86.4
03M054,2019,85.6
03M075,2013,36
03M075,2014,46.2
03M075,2015,48.2
03M075,2016,44.7
03M075,2017,49.5
03M075,2018,44.4
03M075,2019,54.4
03M076,2013,10.8
03M076,2014,16.5
03M076,2015,16.5
03M076,2016,11.6
03M076,2017,10.2
03M076,2018,11.5
03M076,2019,12.2
03M084,2013,39.3
03M084,2014,47.3
03M084,2015,54
03M084,2016,52.9
03M084,2017,55.6
03M084,2018,61.5
03M084,2019,62.1
03M087,2013,70.7
03M087,2014,80.4
03M087,2015,79.9
03M087,2016,77.8
03M087,2017,78.3
03M087,2018,85.8
03M087,2019,85.2
03M145,2013,11.1
03M145,2014,15.3
03M145,2015,9.8
03M145,2016,7.3
03M145,2017,27.6
03M145,2018,23.1
03M145,2019,19.4
03M149,2013,3.6
03M149,2014,10.1
03M149,2015,6.6
03M149,2016,6.1
03M149,2017,5.1
03M149,2018,7.7
03M149,2019,21.2
03M163,2013,51.6
03M163,2014,66.3
03M163,2015,62.6
03M163,2016,58.8
03M163,2017,62.8
03M163,2018,66.4
03M163,2019,65.7
03M165,2013,22.4
03M165,2014,21.3
03M165,2015,22.9
03M165,2016,28.2
03M165,2017,35.8
03M165,2018,37.1
03M165,2019,56.1
03M166,2013,64
03M166,2014,72.2
03M166,2015,76.4
03M166,2016,80.6
03M166,2017,81.9
03M166,2018,87
03M166,2019,92.2
03M180,2013,19.4
03M180,2014,25.5
03M180,2015,23.8
03M180,2016,21.9
03M180,2017,20.8
03M180,2018,25.4
03M180,2019,26.5
03M185,2019,18.8
03M191,2013,16.7
03M191,2014,10.9
03M191,2015,10.8
03M191,2016,7.5
03M191,2017,13.6
03M191,2018,23.7
03M191,2019,28.2
03M199,2013,77.9
03M199,2014,81.2
03M199,2015,87
03M199,2016,85.4
03M199,2017,84.4
03M199,2018,90.2
03M199,2019,87.5
03M241,2013,4.4
03M241,2014,8.8
03M241,2015,5
03M241,2016,8.2
03M241,2017,17.5
03M241,2018,23.2
03M241,2019,21.1
03M242,2013,7.6
03M242,2014,19
03M242,2015,31.8
03M242,2016,22.5
03M242,2017,23.5
03M242,2018,22.2
03M242,2019,12.5
03M243,2013,58.1
03M243,2014,80
03M243,2015,80.9
03M243,2016,82.1
03M243,2017,83.6
03M243,2018,82.1
03M243,2019,85.6
03M245,2013,48.4
03M245,2014,52.3
03M245,2015,58.8
03M245,2016,62.8
03M245,2017,59.9
03M245,2018,67.4
03M245,2019,72.3
03M247,2013,27.5
03M247,2014,45.1
03M247,2015,34.5
03M247,2016,37.9
03M247,2017,36.7
03M247,2018,41.1
03M247,2019,47.3
03M250,2013,9.6
03M250,2014,9.5
03M250,2015,15.2
03M250,2016,19.5
03M250,2017,16.3
03M250,2018,16.6
03M250,2019,17
03M256,2013,0
03M256,2014,4.3
03M256,2015,6.9
03M256,2016,13
03M256,2017,20.6
03M256,2018,33.3
03M256,2019,49.6
03M258,2013,12.8
03M258,2014,17.9
03M258,2015,22.3
03M258,2016,28.3
03M258,2017,31.3
03M258,2018,30.2
03M258,2019,34.6
03M291,2016,69.3
03M291,2017,63.5
03M291,2018,76.8
03M291,2019,82.1
03M333,2013,45.5
03M333,2014,56.9
03M333,2015,53.4
03M333,2016,57.3
03M333,2017,63.6
03M333,2018,65.9
03M333,2019,71.5
03M334,2013,98.3
03M334,2014,98
03M334,2015,97.9
03M334,2016,97
03M334,2017,97.7
03M334,2018,97.1
03M334,2019,98.9
03M415,2013,0
03M415,2014,3.6
03M415,2015,0
03M415,2016,0
03M415,2017,0
03M415,2018,17.5
03M415,2019,26
03M421,2013,9.2
03M421,2014,12
03M421,2015,19
03M421,2016,14.9
03M421,2017,12.7
03M421,2018,11.3
03M421,2019,25
03M452,2014,58.5
03M452,2015,68.4
03M452,2016,73.9
03M452,2017,81.3
03M452,2018,81
03M452,2019,76.2
03M859,2013,91.8
03M859,2014,94.6
03M859,2015,95.6
03M859,2016,97
03M859,2017,100
03M859,2018,100
03M859,2019,98.5
03M860,2013,3.3
03M860,2014,6
03M860,2015,10.6
03M860,2016,10
03M860,2017,31.3
03M860,2018,26.9
03M860,2019,16.7
03M862,2013,49.8
03M862,2014,62.2
03M862,2015,63.9
03M862,2016,55.6
03M862,2017,51.2
03M862,2018,50.4
03M862,2019,44.4
04M007,2013,20.9
04M007,2014,21.3
04M007,2015,28.8
04M007,2016,23.1
04M007,2017,27.8
04M007,2018,27.7
04M007,2019,31.3
04M012,2013,77.1
04M012,2014,88.8
04M012,2015,94.9
04M012,2016,93.6
04M012,2017,95.9
04M012,2018,98.3
04M012,2019,97.2
04M037,2013,24.5
04M037,2014,14.9
04M037,2015,23.5
04M037,2016,21.7
04M037,2017,45.6
04M037,2018,47.4
04M037,2019,21.4
04M038,2013,6.8
04M038,2014,14.8
04M038,2015,11.1
04M038,2016,11.7
04M038,2017,7.8
04M038,2018,5.6
04M038,2019,14.4
04M057,2013,28.1
04M057,2014,32.2
04M057,2015,31.7
04M057,2016,25.7
04M057,2017,26.2
04M057,2018,18.7
04M057,2019,23.1
04M072,2013,21.9
04M072,2014,24.5
04M072,2015,19.6
04M072,2016,22.8
04M072,2017,17.6
04M072,2018,18.9
04M072,2019,25.6
04M083,2013,42
04M083,2014,52
04M083,2015,45
04M083,2016,48.7
04M083,2017,42.4
04M083,2018,54
04M083,2019,55.9
04M096,2013,4.9
04M096,2014,9.1
04M096,2015,6
04M096,2016,8.7
04M096,2017,10.8
04M096,2018,13.7
04M096,2019,24.8
04M102,2013,5.5
04M102,2014,7.4
04M102,2015,20.3
04M102,2016,24.6
04M102,2017,38.1
04M102,2018,35.7
04M102,2019,41.7
04M108,2013,13.6
04M108,2014,19.2
04M108,2015,14.2
04M108,2016,15.8
04M108,2017,13.2
04M108,2018,21.1
04M108,2019,21.9
04M146,2013,8.9
04M146,2014,10
04M146,2015,15.3
04M146,2016,16.9
04M146,2017,18.8
04M146,2018,32.5
04M146,2019,37.1
04M155,2013,13.9
04M155,2014,13.3
04M155,2015,11.9
04M155,2016,11.9
04M155,2017,13.5
04M155,2018,15.9
04M155,2019,15.5
04M171,2013,41.6
04M171,2014,54.4
04M171,2015,60.3
04M171,2016,62.7
04M171,2017,66.8
04M171,2018,70.9
04M171,2019,74.1
04M182,2013,29.7
04M182,2014,47
04M182,2015,34.2
04M182,2016,32.1
04M182,2017,34.6
04M182,2018,37.7
04M182,2019,34.8
04M206,2013,23.6
04M206,2014,26.6
04M206,2015,25.7
04M206,2016,25.2
04M206,2017,20.7
04M206,2018,24.6
04M206,2019,27.6
04M224,2013,27.2
04M224,2014,33.9
04M224,2015,34
04M224,2016,37.8
04M224,2017,32.4
04M224,2018,35.5
04M224,2019,53.5
04M372,2013,2.7
04M372,2014,4.4
04M372,2015,4.7
04M372,2016,12.3
04M372,2017,8.2
04M372,2018,12.2
04M372,2019,19.7
04M375,2013,7.9
04M375,2014,10.9
04M375,2015,15.5
04M375,2016,23.3
04M375,2017,16.4
04M375,2018,24.6
04M375,2019,11.9
04M377,2013,3.9
04M377,2014,4.1
04M377,2015,7.3
04M377,2016,4.3
04M377,2017,17.1
04M377,2018,29.3
04M377,2019,21.2
04M497,2013,52.3
04M497,2014,58.3
04M497,2015,60
04M497,2016,19
04M497,2017,22.2
04M497,2018,23.5
04M497,2019,46.9
04M610,2013,26.7
04M610,2014,23.5
04M610,2015,30.8
04M610,2016,32.1
04M610,2017,34.1
04M610,2018,41.8
04M610,2019,44.7
04M825,2013,6.2
04M825,2014,11.3
04M825,2015,6.4
04M825,2016,8.9
04M825,2017,22
04M825,2018,22.8
04M825,2019,29.8
04M964,2013,40.5
04M964,2014,55.6
04M964,2015,54.7
04M964,2016,51.8
04M964,2017,37.6
04M964,2018,40.3
04M964,2019,34.8
05M030,2013,9.1
05M030,2014,15.6
05M030,2015,13.8
05M030,2016,8
05M030,2017,13
05M030,2018,35.1
05M030,2019,24.8
05M036,2013,15.5
05M036,2014,24.1
05M036,2015,18.8
05M036,2016,22.3
05M036,2017,22.1
05M036,2018,32.7
05M036,2019,30.9
05M046,2013,12.9
05M046,2014,14.3
05M046,2015,12.3
05M046,2016,8.9
05M046,2017,10.4
05M046,2018,16.5
05M046,2019,15.1
05M092,2013,11.3
05M092,2014,23.1
05M092,2015,15.5
05M092,2016,22.2
05M092,2017,33.9
05M092,2018,18.2
05M092,2019,35.3
05M123,2013,5.7
05M123,2014,4.3
05M123,2015,5.8
05M123,2016,4.7
05M123,2017,7.4
05M123,2018,15.3
05M123,2019,15.2
05M125,2013,35.9
05M125,2014,41.7
05M125,2015,50.8
05M125,2016,53.2
05M125,2017,55.7
05M125,2018,39.8
05M125,2019,58.8
05M129,2013,11.5
05M129,2014,19.9
05M129,2015,15.6
05M129,2016,16.8
05M129,2017,14.5
05M129,2018,20.9
05M129,2019,22.7
05M133,2013,5.8
05M133,2014,3.4
05M133,2015,12.5
05M133,2016,18.3
05M133,2017,9.9
05M133,2018,10.6
05M133,2019,15.6
05M148,2014,4.8
05M148,2015,8.3
05M148,2016,3.7
05M148,2017,2.9
05M148,2018,8.1
05M148,2019,24.4
05M154,2013,10.8
05M154,2014,9.8
05M154,2015,11.8
05M154,2016,9.3
05M154,2017,16.3
05M154,2018,13.2
05M154,2019,27.3
05M161,2013,14.8
05M161,2014,18.8
05M161,2015,19
05M161,2016,23.4
05M161,2017,21.6
05M161,2018,25.3
05M161,2019,32.2
05M175,2013,14.5
05M175,2014,6.8
05M175,2015,16.7
05M175,2016,26.1
05M175,2017,32
05M175,2018,28.1
05M175,2019,39.7
05M194,2013,0.9
05M194,2014,10.3
05M194,2015,5.5
05M194,2016,10.1
05M194,2017,10.3
05M194,2018,18
05M194,2019,8.3
05M197,2013,5.9
05M197,2014,11.9
05M197,2015,17.1
05M197,2016,20
05M197,2017,11.4
05M197,2018,15.7
05M197,2019,8.9
05M200,2013,9.8
05M200,2014,11.2
05M200,2015,8.4
05M200,2016,12.2
05M200,2017,13.3
05M200,2018,20.9
05M200,2019,23.4
05M286,2013,7.7
05M286,2014,12.2
05M286,2015,3.2
05M286,2016,2.9
05M286,2017,3.9
05M286,2018,8.7
05M286,2019,9.6
05M318,2013,38.7
05M318,2014,28.3
05M318,2015,31.2
05M318,2016,41.1
05M318,2017,40.4
05M318,2018,46.6
05M318,2019,54.6
05M362,2013,73.6
05M362,2014,79
05M362,2015,89.9
05M362,2016,91.5
05M362,2017,82.2
05M362,2018,89.3
05M362,2019,92.6
05M499,2013,8.8
05M499,2014,5.5
05M499,2015,11.5
05M499,2016,9.7
05M499,2017,6.9
05M499,2018,9.1
05M499,2019,11.2
05M514,2013,5.2
05M514,2014,1.8
05M514,2015,1.6
05M514,2016,4.1
05M514,2017,5.3
05M514,2018,11.3
05M514,2019,9.1
05M517,2015,20
05M517,2016,25.3
05M517,2017,29.2
05M517,2018,47.7
05M517,2019,51.2
05M670,2013,9.9
05M670,2014,26.1
05M670,2015,19.4
05M670,2016,17.6
05M670,2017,10.9
05M670,2018,21.2
05M670,2019,10.9
06M004,2013,10.2
06M004,2014,14.2
06M004,2015,18.8
06M004,2016,27.8
06M004,2017,20.8
06M004,2018,24.9
06M004,2019,46.3
06M005,2013,16.2
06M005,2014,16.5
06M005,2015,18.4
06M005,2016,18.9
06M005,2017,25.2
06M005,2018,30
06M005,2019,31.8
06M008,2013,20.5
06M008,2014,19
06M008,2015,20.4
06M008,2016,15.5
06M008,2017,26
06M008,2018,45.6
06M008,2019,46
06M018,2013,13.4
06M018,2014,18.5
06M018,2015,18.5
06M018,2016,20.1
06M018,2017,20.9
06M018,2018,27.4
06M018,2019,27.9
06M028,2013,22.4
06M028,2014,41.2
06M028,2015,34.8
06M028,2016,37.4
06M028,2017,34.1
06M028,2018,36.7
06M028,2019,42.9
06M048,2013,15.9
06M048,2014,24.3
06M048,2015,22.3
06M048,2016,19.6
06M048,2017,20.3
06M048,2018,17.8
06M048,2019,29.8
06M052,2013,7.7
06M052,2014,11.5
06M052,2015,9.3
06M052,2016,11.6
06M052,2017,8.2
06M052,2018,11.8
06M052,2019,11.5
06M098,2013,17.4
06M098,2014,25.8
06M098,2015,18.7
06M098,2016,14.7
06M098,2017,15.4
06M098,2018,27.6
06M098,2019,32.6
06M103,2017,31.4
06M103,2018,39.1
06M103,2019,39.2
06M115,2013,11.3
06M115,2014,12
06M115,2015,19.3
06M115,2016,15.6
06M115,2017,16
06M115,2018,28.6
06M115,2019,31.1
06M128,2013,26
06M128,2014,21.9
06M128,2015,19.8
06M128,2016,30.1
06M128,2017,32.3
06M128,2018,31.8
06M128,2019,33.7
06M132,2013,10.4
06M132,2014,10.2
06M132,2015,14.9
06M132,2016,16.2
06M132,2017,14.9
06M132,2018,30.3
06M132,2019,26.3
06M143,2013,7.2
06M143,2014,5.1
06M143,2015,5.1
06M143,2016,6.7
06M143,2017,6.4
06M143,2018,15.1
06M143,2019,18.4
06M152,2013,9.3
06M152,2014,21.6
06M152,2015,23.9
06M152,2016,21.3
06M152,2017,26.8
06M152,2018,30.2
06M152,2019,34.9
06M153,2013,26.9
06M153,2014,22.2
06M153,2015,31.7
06M153,2016,28.9
06M153,2017,35.7
06M153,2018,36.1
06M153,2019,43.3
06M173,2013,25.2
06M173,2014,38.3
06M173,2015,34.6
06M173,2016,26.6
06M173,2017,36.5
06M173,2018,32.6
06M173,2019,40.7
06M178,2014,42.6
06M178,2015,45.5
06M178,2016,43.7
06M178,2017,49.6
06M178,2018,55.4
06M178,2019,54.8
06M187,2013,34.3
06M187,2014,46
06M187,2015,50.4
06M187,2016,49.7
06M187,2017,49.1
06M187,2018,53.9
06M187,2019,63.8
06M189,2013,20.3
06M189,2014,27.7
06M189,2015,26.3
06M189,2016,24.6
06M189,2017,22.8
06M189,2018,31.2
06M189,2019,41.4
06M192,2013,29.6
06M192,2014,17.4
06M192,2015,19.5
06M192,2016,16.2
06M192,2017,36.3
06M192,2018,30.9
06M192,2019,31
06M209,2015,14.1
06M209,2016,19.9
06M209,2017,21.5
06M209,2018,19.7
06M209,2019,28.3
06M210,2013,13.8
06M210,2014,22
06M210,2015,29
06M210,2016,35.1
06M210,2017,35.5
06M210,2018,47
06M210,2019,54.5
06M223,2013,47.8
06M223,2014,58
06M223,2015,57.6
06M223,2016,54.4
06M223,2017,57.4
06M223,2018,82.3
06M223,2019,86.9
06M278,2013,26.9
06M278,2014,44.2
06M278,2015,45
06M278,2016,51.4
06M278,2017,45.9
06M278,2018,51.5
06M278,2019,52.2
06M293,2013,38.3
06M293,2014,49.2
06M293,2015,45
06M293,2016,46
06M293,2017,29.8
06M293,2018,39.2
06M293,2019,32.1
06M311,2013,24.5
06M311,2014,27.2
06M311,2015,24.3
06M311,2016,22
06M311,2017,25.7
06M311,2018,36.9
06M311,2019,43.6
06M314,2013,28.6
06M314,2014,44.3
06M314,2015,55.9
06M314,2016,61.6
06M314,2017,68.8
06M314,2018,75.8
06M314,2019,75.6
06M319,2013,10.5
06M319,2014,15.1
06M319,2015,14.1
06M319,2016,15.3
06M319,2017,23.4
06M319,2018,30
06M319,2019,20.6
06M322,2013,8.3
06M322,2014,13.5
06M322,2015,13.1
06M322,2016,17.8
06M322,2017,20
06M322,2018,21.4
06M322,2019,17.9
06M324,2013,25.8
06M324,2014,25.5
06M324,2015,28.4
06M324,2016,22.3
06M324,2017,18.4
06M324,2018,26.6
06M324,2019,35.4
06M328,2013,1.2
06M328,2014,3.2
06M328,2015,3.5
06M328,2016,2.3
06M328,2017,6
06M328,2018,10.4
06M328,2019,15.6
06M346,2013,1.6
06M346,2014,7.9
06M346,2015,12.2
06M346,2016,17
06M346,2017,14.8
06M346,2018,19.2
06M346,2019,24.4
06M348,2013,28.9
06M348,2014,31.8
06M348,2015,28
06M348,2016,25.7
06M348,2017,13.4
06M348,2018,9.2
06M348,2019,37.8
06M349,2013,3.1
06M349,2014,2.5
06M349,2015,5.9
06M349,2016,6.7
06M349,2017,13.6
06M349,2018,20.1
06M349,2019,17.5
06M366,2013,29.9
06M366,2014,36
06M366,2015,33.3
06M366,2016,44.8
06M366,2017,57
06M366,2018,67.2
06M366,2019,74.8
06M368,2013,20.9
06M368,2014,18.2
06M368,2015,28.6
06M368,2016,24.6
06M368,2017,10.5
06M368,2018,26.1
06M368,2019,33.7
06M513,2016,s
06M513,2017,62.5
06M513,2018,64.7
06M513,2019,62.5
06M528,2013,3.7
06M528,2014,5.1
06M528,2015,10
06M528,2016,9.9
06M528,2017,19.4
06M528,2018,30.6
06M528,2019,38.6
07X001,2013,15.4
07X001,2014,21.1
07X001,2015,13.3
07X001,2016,11.7
07X001,2017,10.7
07X001,2018,21.1
07X001,2019,25.1
07X005,2013,7
07X005,2014,8
07X005,2015,7.3
07X005,2016,10.9
07X005,2017,13.7
07X005,2018,16.1
07X005,2019,19.7
