,dbn,4yr_pct_ch,6yr_pct_ch,is_co_located,borough_code,economic_need_index_y,total_enrollment,disability,ell,poverty
240,15K464,0.455075846,0.849546044,TRUE,K,0.626,0.762532982,-0.988413462,-0.433628319,-0.205256571
241,15K497,0.652413793,0.813872832,TRUE,K,0.482,0.69519833,-0.987105263,-0.424778761,-0.422250316
242,15K519,0.914844649,0.968561064,FALSE,K,0.834,-0.103327496,-0.991797235,0.36,-0.054176072
243,15K529,1.5,0.813704497,FALSE,K,0.833,0.130232558,-0.976358974,1.833333333,0.068152031
244,15K656,0.891684902,0.938818565,TRUE,K,0.663,0.141104294,-0.981122449,0.272727273,-0.141374838
245,15K667,0.867310012,0.985645933,TRUE,K,0.887,-0.053475936,-0.991911111,0.159090909,0.025089606
246,15K698,1.036036036,1.389784946,FALSE,K,0.911,0.085889571,-0.976526316,2.838709677,0.037887486
247,16K455,0.572727273,0.768716578,TRUE,K,0.88,-0.519148936,-0.985945946,1.0625,0.106578947
248,16K498,0.73929471,0.784064665,FALSE,K,0.846,0.115830116,-0.988125,0.871794872,-0.008274232
249,16K688,0.721862872,0.952893674,TRUE,K,0.917,-0.148648649,-0.989647887,0.472222222,0.254953765
250,17K382,0.878411911,1.171830986,TRUE,K,0.847,-0.34962406,-0.9888125,1.2,0.060075094
251,17K408,0.498312711,0.827586207,TRUE,K,0.874,-0.194719472,-0.9864,-0.179487179,0.052071006
252,17K489,0.2075,1.017191977,FALSE,K,,,,,
253,17K524,1.155202822,1.015936255,TRUE,K,0.95,-0.121140143,-0.99238806,-0.082878953,0.205278592
254,17K528,0.677804296,0.952380952,TRUE,K,0.801,-0.1328125,-0.990813953,-0.307692308,-0.053631285
255,17K531,0.856793146,0.890315053,TRUE,K,0.792,-0.216346154,-0.98972973,0.290909091,-0.048478016
256,17K537,0.822249093,0.894431555,TRUE,K,0.793,0.342939481,-0.989307359,-0.214285714,-0.106796117
257,17K539,0.900636943,0.939285714,TRUE,K,0.855,-0.311059908,-0.989090909,0.414141414,0.04556962
258,17K543,0.963,1.012145749,TRUE,K,0.636,0.172932331,-0.953,inf,-0.131449631
259,17K546,1.077625571,0.998977505,TRUE,K,0.756,0.082004556,-0.978202247,-1.58E-16,-0.091013825
260,17K547,0.836,0.939252336,TRUE,K,0.785,-0.283018868,-0.989281046,0.033898305,-0.038834951
261,17K548,0.845579078,0.952095808,TRUE,K,0.84,-0.303258145,-0.984857143,inf,-0.007168459
262,17K568,0.821969697,0.922056385,TRUE,K,0.867,-0.458536585,-0.974766355,0.2,0.063354037
263,17K590,1.012578616,0.978830645,FALSE,K,0.553,0.133012821,-0.978666667,-0.6,0.02435724
264,17K600,0.894540943,0.947674419,TRUE,K,0.771,-0.178360656,-0.988378378,-0.333333333,-0.110837438
265,17K646,1.666666667,0.782524272,TRUE,K,,,,,
266,18K563,1.043829296,1.005399568,TRUE,K,0.788,0.208576998,-0.989415584,-0.27826087,-0.16509434
