DBN,Cohort Year,pct_Grads
06M293,2010,98.7
06M293,2009,97.5
06M346,2013,83.8
06M346,2012,87.8
06M346,2011,79.5
06M346,2010,81.2
06M346,2009,74
06M348,2013,88
06M348,2012,81.4
06M348,2011,91.8
06M348,2010,95.5
06M348,2009,89.3
06M423,2013,62.1
06M423,2012,63.9
06M423,2011,54
06M423,2010,57.4
06M423,2009,61.3
06M462,2013,68.9
06M462,2012,76.6
06M462,2011,68.2
06M462,2010,74
06M462,2009,75
06M463,2013,66
06M463,2012,66.4
06M463,2011,70.1
06M463,2010,78.1
06M463,2009,69.9
06M467,2013,78.3
06M467,2012,73.8
06M467,2011,75.1
06M467,2010,77.2
06M467,2009,72.5
06M468,2013,72.1
06M468,2012,75.6
06M468,2011,77
06M468,2010,72.4
06M468,2009,64.3
06M540,2013,81.7
06M540,2012,83.2
06M540,2011,88.5
06M540,2010,87.9
06M540,2009,86.6
06M552,2013,84.3
06M552,2012,82
06M552,2011,85.2
06M552,2010,72.8
06M552,2009,71.9
07X221,2013,97.5
07X221,2012,94.9
07X221,2011,93.8
07X221,2010,92.8
07X221,2009,90
07X223,2013,92.2
07X223,2012,s
07X259,2013,77.4
07X259,2012,s
07X259,2010,s
07X334,2013,72.4
07X334,2012,71.6
07X334,2011,73
07X334,2010,55.9
07X334,2009,45.6
07X379,2013,40.6
07X379,2012,43.8
07X379,2011,44.7
07X379,2010,49.6
07X379,2009,47.6
07X381,2013,38.7
07X381,2012,36.7
07X381,2011,41.8
07X381,2010,50.7
07X381,2009,40.5
07X427,2013,71.6
07X427,2012,79.1
07X427,2011,62
07X427,2010,69.8
07X427,2009,77.5
07X473,2013,68.8
07X473,2012,75.9
07X473,2011,70
07X473,2010,74.7
07X473,2009,66.7
07X495,2013,98.3
07X495,2012,99.2
07X495,2011,97.4
07X495,2010,94.8
07X495,2009,90
07X500,2013,91.8
07X500,2012,90.1
07X500,2011,90.4
07X500,2010,94
07X500,2009,90.3
07X520,2013,s
07X520,2012,57.6
07X520,2011,50
07X520,2010,59.6
07X520,2009,57.8
07X522,2013,67.7
07X522,2012,67.7
07X522,2011,61.5
07X522,2010,s
07X522,2009,s
07X527,2013,82.3
07X527,2012,84
07X527,2011,71.2
07X527,2010,73
07X527,2009,69.8
07X547,2013,61.3
07X547,2012,63.1
07X547,2011,66.7
07X547,2010,61.6
07X547,2009,61.6
07X548,2013,80.8
07X548,2012,74
07X548,2011,79.9
07X548,2010,80.5
07X548,2009,80.8
07X551,2013,88.9
07X551,2012,73.1
07X551,2011,81.8
07X551,2010,74.7
07X551,2009,93.4
07X557,2013,58.8
07X557,2012,54
07X557,2011,50.5
07X557,2010,47.4
07X557,2009,40.8
07X600,2013,85.7
07X600,2012,75.7
07X600,2011,75
07X600,2010,72.6
07X600,2009,66.8
07X655,2011,48.3
07X655,2010,45.5
07X655,2009,42.7
07X670,2013,56.9
07X670,2012,71.5
07X670,2011,67.4
07X670,2010,69
07X670,2009,73.6
08X269,2013,77.1
08X269,2012,85.3
08X269,2011,82.3
08X269,2010,79.7
08X269,2009,77
08X282,2013,78.1
08X282,2012,69.9
08X282,2011,72.4
08X282,2010,78.3
08X282,2009,75.6
08X293,2013,72.7
08X293,2012,75.7
08X293,2011,81.7
08X293,2010,74.3
08X293,2009,86.3
08X295,2011,48.7
08X295,2010,55.8
08X295,2009,50.9
08X305,2013,69.2
08X305,2012,69.8
08X305,2011,64
08X305,2010,76.5
08X305,2009,65.2
08X312,2013,77.6
08X312,2012,77.2
08X312,2011,70.1
08X312,2010,81.1
08X312,2009,73
08X320,2013,77.3
08X320,2012,s
08X320,2011,s
08X332,2013,64.3
08X332,2012,76.7
08X332,2011,78.6
08X332,2010,61.2
08X332,2009,69.1
08X348,2013,82.5
08X348,2012,s
08X348,2010,s
08X349,2013,84.3
08X349,2012,s
08X367,2013,80.9
08X367,2012,73.6
08X367,2011,70.6
08X367,2010,69.1
08X367,2009,s
08X376,2013,70.4
08X376,2012,63.8
08X376,2011,78.5
08X376,2010,76
08X376,2009,s
08X377,2013,51.4
08X377,2012,54.3
08X377,2011,52.3
08X377,2010,35.1
08X377,2009,35.1
08X405,2013,69.3
08X405,2012,60.7
08X405,2011,57.9
08X405,2010,66.8
08X405,2009,64.9
08X432,2013,68.6
08X432,2012,67.5
08X432,2011,61.6
08X432,2010,85.1
08X452,2013,70.4
08X452,2012,74
08X452,2011,63.8
08X452,2010,69.6
08X452,2009,66.7
08X519,2013,47.9
08X519,2012,59.8
08X519,2011,56
08X519,2010,49.4
08X519,2009,51
08X530,2013,60.8
08X530,2012,56.2
08X530,2011,60.8
08X530,2010,52.8
08X530,2009,56.5
08X537,2013,38.8
08X537,2012,43.8
08X537,2011,35.6
08X537,2010,40.8
08X537,2009,29.7
08X540,2010,42.1
08X540,2009,43.9
08X558,2013,85
08X558,2012,83.5
08X558,2011,s
08X559,2013,68.7
08X559,2012,76.4
08X559,2011,s
08X559,2010,s
08X560,2010,s
08X560,2009,20
08X561,2013,58.3
08X561,2012,80.6
08X561,2011,16.7
08X561,2010,s
08X650,2011,62.3
08X650,2010,55.5
08X650,2009,53.1
09X227,2013,71
09X227,2012,64.7
09X227,2011,66.3
09X227,2010,64.9
09X227,2009,59.8
09X231,2013,79.7
09X231,2012,89.5
09X231,2011,81.6
09X231,2010,85.6
09X231,2009,78.7
09X239,2010,90
09X239,2009,46.3
09X241,2013,88.3
09X241,2012,95.9
09X241,2011,90.4
09X241,2010,83.8
09X241,2009,93.6
09X250,2013,91.3
09X250,2012,93.2
09X250,2011,90
09X250,2010,89
09X250,2009,83.3
09X252,2013,84.5
09X252,2012,80.4
09X252,2011,84.4
09X252,2010,80.2
09X252,2009,90.8
09X260,2013,94.6
09X260,2012,95.1
09X260,2011,94.5
09X260,2010,91.6
09X260,2009,96.9
09X263,2013,80.9
09X263,2012,82.5
09X263,2011,72
09X263,2010,79.3
09X263,2009,77.3
09X276,2013,42.5
09X276,2012,59.1
09X276,2011,47.8
09X276,2010,61.4
09X276,2009,64.4
09X297,2013,79.4
09X297,2012,69.4
09X297,2011,75
09X297,2010,69
09X297,2009,69
09X324,2013,91.8
09X324,2012,92.6
09X324,2011,96.7
09X324,2010,94.9
09X324,2009,97.4
09X327,2013,91.1
09X327,2012,92
09X327,2011,s
09X329,2013,74.4
09X329,2012,59.7
09X329,2011,71.4
09X329,2010,59.3
09X329,2009,41.2
09X350,2013,s
09X350,2012,s
09X365,2013,97.4
09X365,2012,93.2
09X365,2011,94.3
09X365,2010,90.9
09X365,2009,87.2
09X403,2013,96.1
09X403,2012,84.4
09X403,2011,83.9
09X403,2010,84
09X403,2009,71.3
09X404,2013,64.1
09X404,2012,67.5
09X404,2011,75
09X404,2010,68.6
09X404,2009,73
09X412,2013,69.8
09X412,2012,62.5
09X412,2011,57.9
09X412,2010,60.8
09X412,2009,55.2
09X413,2013,95.5
09X413,2012,96.2
09X413,2011,90.8
09X413,2010,90.8
09X413,2009,95.8
09X414,2012,50
09X414,2011,60
09X414,2010,44.8
09X414,2009,38.5
09X505,2013,86
09X505,2012,85.9
09X505,2011,84.8
09X505,2010,90.1
09X505,2009,89.4
09X517,2013,80.6
09X517,2012,67.8
09X517,2011,77.4
09X517,2010,77.1
09X517,2009,73.5
09X525,2013,69.3
09X525,2012,69.1
09X525,2011,67.7
09X525,2010,70.7
09X525,2009,63.2
09X543,2013,70.7
09X543,2012,74.2
09X543,2011,72.9
09X543,2010,68.2
09X543,2009,62.7
09X564,2013,69.1
09X564,2012,79.4
09X564,2010,s
10X141,2013,94.2
10X141,2012,92.5
10X141,2011,87.7
10X141,2010,95.2
10X141,2009,89.2
10X213,2013,79
10X213,2012,78.4
10X213,2011,76.6
10X213,2010,67.7
10X213,2009,78.1
10X225,2013,82.4
10X225,2012,90.8
10X225,2011,83.9
10X225,2010,91.8
10X225,2009,87.3
10X237,2013,74.6
10X237,2012,84.5
10X237,2011,79.6
10X237,2010,77.3
10X237,2009,83.2
10X243,2013,85.9
10X243,2012,90.9
10X243,2011,84
10X243,2010,81.4
10X243,2009,80.2
10X264,2013,84.9
10X264,2011,s
10X268,2013,62
10X268,2012,58.2
10X268,2011,73.2
10X268,2010,64.5
10X268,2009,57.1
10X284,2013,79.2
10X284,2012,72.8
10X284,2011,77.3
10X284,2010,81.2
10X284,2009,76.1
10X319,2013,33.1
10X319,2012,37.6
10X319,2011,37.8
10X319,2010,29.8
10X319,2009,32.6
10X342,2013,84.8
10X342,2012,78.6
10X342,2011,80.6
10X342,2010,72.1
10X342,2009,75.9
10X351,2013,62.7
10X351,2012,33.3
10X351,2011,s
10X351,2010,s
10X353,2013,85.7
10X368,2013,94
10X368,2012,90.4
10X368,2011,94.7
10X368,2010,93.9
10X368,2009,78.5
10X374,2013,92
10X374,2012,93.4
10X374,2011,77.2
10X374,2010,85.2
10X374,2009,89.9
10X397,2013,30.8
10X397,2012,33.1
10X397,2011,27.6
10X397,2010,19.8
10X397,2009,23.1
10X433,2013,87.5
10X433,2012,74.3
10X433,2011,69.9
10X433,2010,82.9
10X433,2009,81.1
10X434,2013,98
10X434,2012,95.3
10X434,2011,78.9
10X434,2010,82.1
10X434,2009,78.9
10X437,2013,96
10X437,2012,98.7
10X437,2011,95.4
10X437,2010,84.9
10X437,2009,86.6
10X438,2013,76.9
10X438,2012,71.6
10X438,2011,65.5
10X438,2010,67
10X438,2009,58.7
10X439,2013,87.1
10X439,2012,82.1
10X439,2011,73
10X439,2010,79.6
10X439,2009,86.1
10X440,2013,62.9
10X440,2012,62.6
10X440,2011,55.8
10X440,2010,57.7
10X440,2009,65.6
10X442,2013,95.2
10X442,2012,95.6
10X442,2011,94.4
10X442,2010,93
10X442,2009,94.5
10X445,2013,99.9
10X445,2012,99.9
10X445,2011,100
10X445,2010,99.7
10X445,2009,99.9
10X475,2010,41.4
10X475,2009,48.3
10X477,2013,97
10X477,2012,93.8
10X477,2011,96.4
10X477,2010,96
10X477,2009,94
10X524,2013,67.6
10X524,2012,46.3
10X524,2011,57.1
10X524,2010,s
10X546,2013,67.5
10X546,2012,73.6
10X546,2011,77.7
10X546,2010,77.9
10X546,2009,78.2
10X549,2013,84.8
10X549,2012,82.5
10X549,2011,74.1
10X549,2010,70.8
10X549,2009,68.5
10X565,2013,73.9
10X565,2012,84.6
10X565,2011,s
10X660,2011,54.6
10X660,2010,43.4
10X660,2009,47.1
10X696,2013,100
10X696,2012,100
10X696,2011,100
10X696,2010,100
10X696,2009,100
11X249,2013,100
11X249,2012,94.8
11X249,2011,97.6
11X249,2010,98.4
11X249,2009,98.2
11X253,2013,76.8
11X253,2012,70.8
11X253,2011,59.6
11X253,2010,70.5
11X253,2009,60.2
11X265,2013,64.1
11X265,2012,78.6
11X265,2011,87.7
11X265,2010,83.2
11X265,2009,75.2
11X270,2013,73.1
11X270,2012,75.6
11X270,2011,85.3
11X270,2010,72.1
11X270,2009,87.3
11X275,2013,74.5
11X275,2012,88.9
11X275,2011,82.3
11X275,2010,86.5
11X275,2009,90.9
11X288,2013,91.2
11X288,2012,88.4
11X288,2011,85.8
11X288,2010,83.9
11X288,2009,88.4
11X290,2013,84.2
11X290,2012,83
11X290,2011,78.9
11X290,2010,77.1
11X290,2009,78.3
11X299,2013,86.3
11X299,2012,85.4
11X299,2011,79.4
11X299,2010,74.7
11X299,2009,77.6
11X415,2010,54.8
11X415,2009,51.9
11X418,2013,78
11X418,2012,73.3
11X418,2011,60.2
11X418,2010,72.7
11X418,2009,76.5
11X455,2013,78.1
11X455,2012,73.6
11X455,2011,70.1
11X455,2010,72.1
11X455,2009,67.1
11X508,2013,86
11X508,2012,85.1
11X508,2011,82.8
11X508,2010,s
11X508,2009,s
11X509,2013,85.5
11X509,2012,73.8
11X509,2011,85.2
11X509,2010,s
11X513,2013,92.6
11X513,2012,89.2
11X513,2011,93.8
11X513,2010,82.4
11X513,2009,90.9
11X514,2013,74.8
11X514,2012,79.2
11X514,2011,68.6
11X514,2010,83.5
11X514,2009,73
11X541,2010,53.3
11X541,2009,56.4
11X542,2013,91.2
11X542,2012,90.8
11X542,2011,92.7
11X542,2010,93.5
11X542,2009,97.3
11X544,2013,82.6
11X544,2012,73.6
11X544,2011,68.5
11X544,2010,74.2
11X544,2009,71.8
11X545,2013,73.6
11X545,2012,77.3
11X545,2011,72.8
11X545,2010,66.7
11X545,2009,75
12X242,2013,96.3
12X242,2012,92.8
12X242,2011,89.7
12X242,2010,84.3
12X242,2009,s
12X245,2010,0
12X245,2009,39.6
12X248,2013,67.8
12X248,2012,67.5
12X248,2011,70
12X248,2010,72.6
12X248,2009,73.2
12X251,2013,68.8
12X251,2012,73.8
12X251,2011,69.2
12X251,2010,70.4
12X251,2009,66.3
12X262,2010,36.7
12X262,2009,27
12X267,2013,97.2
12X267,2012,90.3
12X267,2011,89.5
12X267,2010,89.3
12X267,2009,72.5
12X271,2013,84.8
12X271,2012,88.9
12X271,2011,67.7
12X271,2010,82.2
12X271,2009,74.8
12X278,2013,0
12X278,2012,45
12X278,2011,46.7
12X278,2010,57.9
12X278,2009,51.4
12X321,2013,s
12X321,2012,28.6
12X321,2011,50
12X321,2010,53.3
12X321,2009,53
12X372,2013,80.9
12X372,2012,82.9
12X372,2011,82.5
12X372,2010,85.9
12X372,2009,s
12X388,2013,80.5
12X388,2012,85
12X388,2011,89.8
12X388,2010,77.6
12X388,2009,84.5
12X446,2013,45.5
12X446,2012,43.4
12X446,2011,43
12X446,2010,54.5
12X446,2009,44.1
12X478,2013,98.6
12X478,2012,94.7
12X478,2011,97.9
12X478,2010,94.8
12X478,2009,97.3
12X479,2013,49.4
12X479,2012,52.9
12X479,2011,53.4
12X479,2010,54.9
12X479,2009,79.1
12X480,2013,35
12X480,2012,40
12X480,2011,29.6
12X480,2010,42.4
12X480,2009,31.1
12X511,2013,69.3
12X511,2012,76.4
12X511,2011,78.6
12X511,2010,25
12X521,2013,72.2
12X521,2012,82.9
12X521,2011,79.8
12X521,2010,s
12X521,2009,s
12X550,2013,67.7
12X550,2012,61.2
12X550,2011,67
12X550,2010,72.2
12X550,2009,65.5
12X682,2013,73.8
12X682,2012,77.4
12X682,2011,74.3
12X682,2010,75.2
12X682,2009,79.4
12X684,2013,68.4
12X684,2012,69.2
12X684,2011,74.8
12X684,2010,74.3
12X684,2009,68.4
12X690,2010,43.3
12X690,2009,54.3
12X692,2013,69.4
12X692,2012,49
12X692,2011,58.8
12X692,2010,54.6
12X692,2009,58.4
13K265,2013,77.3
13K265,2012,87
13K265,2011,85.1
13K265,2010,85.7
13K265,2009,71.8
13K336,2009,66.7
13K350,2013,81.3
13K350,2012,87.2
13K350,2011,62.6
13K350,2010,72.2
13K350,2009,56.5
13K412,2013,82.8
13K412,2012,81.7
13K412,2011,86.1
13K412,2010,85.3
13K412,2009,78.3
13K419,2013,89.4
13K419,2012,90.6
13K419,2011,79.5
13K419,2010,79.8
13K419,2009,78
13K430,2013,99.5
13K430,2012,98.6
13K430,2011,98.7
13K430,2010,99.1
13K430,2009,98.7
13K439,2013,86.2
13K439,2012,86
13K439,2011,89
13K439,2010,90.4
13K439,2009,87.8
13K483,2013,94.4
13K483,2012,97.1
13K483,2011,93.3
13K483,2010,92.3
13K483,2009,93.9
13K499,2013,85.5
13K499,2012,75.4
13K499,2011,69.1
13K499,2010,84.6
13K499,2009,79.5
13K509,2011,s
13K509,2010,0
13K509,2009,46.3
13K527,2013,89.6
13K527,2012,88.5
13K527,2011,90.4
13K527,2010,94.4
13K527,2009,93.5
13K553,2013,41.3
13K553,2012,52.8
13K553,2011,65.1
13K553,2010,62.7
13K553,2009,45.2
13K575,2013,47.2
13K575,2012,57.4
13K575,2011,63
13K575,2010,58.9
13K575,2009,57.1
13K594,2013,71.8
13K594,2012,73.5
13K594,2011,66.2
13K594,2010,75.9
13K594,2009,81.6
13K595,2013,100
13K595,2012,100
13K595,2011,97.5
13K595,2010,100
13K595,2009,96.1
13K605,2013,82.6
13K605,2012,87.6
13K605,2011,85.8
13K605,2010,84.3
13K605,2009,78.2
13K616,2013,25.7
13K616,2012,37.6
13K616,2011,24
13K616,2010,27
13K616,2009,23.2
13K670,2013,96.6
13K670,2012,98.2
13K670,2011,95.8
13K670,2010,98.9
13K670,2009,98.2
13K674,2013,94.3
13K674,2012,81
13K674,2011,93.8
13K674,2010,89.2
13K674,2009,93.7
