DBN,Cohort Year,pct_Grads
01M292,2015,89.3
01M292,2014,96.6
01M292,2013,69.4
01M292,2012,54.5
01M292,2011,63
01M292,2010,42.6
01M292,2009,57.6
01M448,2015,93.9
01M448,2014,93.2
01M448,2013,89.7
01M448,2012,75.8
01M448,2011,85.4
01M448,2010,80.3
01M448,2009,78.4
01M450,2015,90.3
01M450,2014,96.7
01M450,2013,91
01M450,2012,84.4
01M450,2011,86.4
01M450,2010,83.3
01M450,2009,75.6
01M458,2015,25.3
01M458,2014,37
01M458,2013,16
01M458,2012,15.9
01M458,2011,16.1
01M458,2010,8.4
01M458,2009,9.6
01M509,2015,86.8
01M509,2014,64.3
01M509,2013,72.9
01M509,2012,59.5
01M509,2011,47.1
01M509,2010,49.2
01M509,2009,36.1
01M515,2015,45.6
01M515,2014,40.3
01M515,2013,36.6
01M515,2012,36.7
01M515,2011,40.9
01M515,2010,30.4
01M515,2009,33.2
01M539,2015,100
01M539,2014,93.9
01M539,2013,97.3
01M539,2012,100
01M539,2011,97.5
01M539,2010,94.7
01M539,2009,97.8
01M650,2015,33.7
01M650,2014,30.1
01M650,2013,27.3
01M650,2012,33.9
01M650,2011,30.3
01M650,2010,37.5
01M650,2009,42.3
01M696,2015,98.7
01M696,2014,98.5
01M696,2013,99.1
01M696,2012,98.5
01M696,2011,97.4
01M696,2010,100
01M696,2009,97.6
02M047,2015,92.5
02M047,2014,85.7
02M047,2013,91.4
02M047,2012,86.2
02M047,2011,55.2
02M047,2010,70.7
02M047,2009,70.5
02M135,2015,88.7
02M135,2014,76
02M135,2013,74.7
02M139,2015,87.5
02M139,2014,78
02M139,2013,82.7
02M139,2012,s
02M260,2015,90.7
02M280,2015,96.3
02M280,2014,96.4
02M282,2015,90.8
02M282,2014,90.3
02M282,2013,s
02M288,2015,85.4
02M288,2014,84.5
02M288,2013,91.9
02M288,2012,88.3
02M288,2011,79.8
02M288,2010,76.5
02M288,2009,84.1
02M294,2015,87.5
02M294,2014,88.2
02M294,2013,82.5
02M294,2012,83
02M294,2011,85.4
02M294,2010,72.2
02M294,2009,65.4
02M296,2015,76.8
02M296,2014,81.5
02M296,2013,70.6
02M296,2012,75
02M296,2011,83.5
02M296,2010,73.5
02M296,2009,65.8
02M298,2015,84.4
02M298,2014,89.1
02M298,2013,85.9
02M298,2012,90.8
02M298,2011,87.8
02M298,2010,93.7
02M298,2009,88.8
02M300,2015,72.6
02M300,2014,72.1
02M300,2013,58.7
02M300,2012,67.9
02M300,2011,62
02M300,2010,65.3
02M300,2009,55
02M303,2015,82.8
02M303,2014,72.6
02M303,2013,75.9
02M303,2012,70
02M303,2011,66.7
02M303,2010,71.7
02M303,2009,62.2
02M305,2015,88.7
02M305,2014,81.4
02M305,2013,83.6
02M305,2012,83.1
02M305,2011,88.3
02M305,2010,88.1
02M305,2009,82.7
02M308,2015,77.3
02M308,2014,83.3
02M308,2013,80.5
